계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,202601
인건비,인건비,55010129,복리후생비_산재보험,F02600,공통_정보보안팀,281227.0
인건비,인건비,55010129,복리후생비_산재보험,F02900,공통_AX팀,692262.0
인건비,인건비,55010129,복리후생비_산재보험,F03000,공통_AI 엔지니어링팀,354666.0
인건비,인건비,55010129,복리후생비_산재보험,F03200,공통_PI팀,109121.0
인건비,인건비,55010129,복리후생비_산재보험,F03300,공통_무역팀,342292.0
인건비,인건비,55010129,복리후생비_산재보험,F03400,공통_자산관리팀,157738.0
인건비,인건비,55010129,복리후생비_산재보험,F03700,공통_통합인테리어팀,154985.0
인건비,인건비,55010129,복리후생비_산재보험,F03900,공통_퍼포먼스마케팅팀,479031.0
인건비,인건비,55010129,복리후생비_산재보험,F04400,공통_통합영업팀,315618.0
인건비,인건비,55010129,복리후생비_산재보험,F04500,공통_통합소싱팀,543215.0
인건비,인건비,55010129,복리후생비_산재보험,F04800,공통_해외사업팀,451866.0
인건비,인건비,55010129,복리후생비_산재보험,F05100,공통_마케팅본부,1515458.0
인건비,인건비,55010129,복리후생비_산재보험,F05200,공통_통합온라인채널팀,207516.0
인건비,인건비,55130101,세금과공과_국민연금,F00100,공통_임원,118270.0
인건비,인건비,55130101,세금과공과_국민연금,F00200,공통_경영개선팀,1032260.0
인건비,인건비,55130101,세금과공과_국민연금,F00300,공통_총무,2066590.0
인건비,인건비,55130101,세금과공과_국민연금,F00400,공통_법무팀,1686550.0
인건비,인건비,55130101,세금과공과_국민연금,F00500,공통_HR팀,2421690.0
인건비,인건비,55130101,세금과공과_국민연금,F00600,공통_공간기획팀,1670930.0
인건비,인건비,55130101,세금과공과_국민연금,F00700,공통_회계팀,2554460.0
인건비,인건비,55130101,세금과공과_국민연금,F00800,공통_경영관리팀,2751160.0
인건비,인건비,55130101,세금과공과_국민연금,F01200,공통_e-BIZ팀,3117320.0
인건비,인건비,55130101,세금과공과_국민연금,F01300,공통_IT팀,12230900.0
